"","tweet_id","tweet_text","tweet_created_at","tweet_geo_lat","tweet_geo_lon","tweet_city","text_clean"
"54","741687214199967744","pre-flight troubleshooting @ Eastman Lake https://t.co/pgGkdNcC9J","Sat Jun 11 17:43:06 +0000 2016","43.52618334","-72.12308455","New Hampshire, USA","preflight troubleshooting eastman lake http tcopggkdncc9j"
"56","741689282373554176","#WOW direct flight from #SFO to #KEF @ San Francisco International Airport (SFO) https://t.co/iPKCzlhRNw","Sat Jun 11 17:51:19 +0000 2016","37.615608","-122.389544","California, USA","wow direct flight sfo kef san francisco international airport sfo http tcoipkczlhrnw"
"57","741691542465716224","@airfrance what's in it for people whose flight has been canceled?","Sat Jun 11 18:00:18 +0000 2016","39.4632521","-77.4103735","Frederick, MD","airfrance s people whose flight ha canceled"
"58","741693395500990464","Part 3 of flight.  Need the Stones playing while drinking. - Drinking a Brown Sugar 69 at @devilscreekbeer - https://t.co/ckchTXb2Ug","Sat Jun 11 18:07:40 +0000 2016","39.9169","-75.0714","Collingswood, NJ","part 3 flight need stones playing drinking drinking brown sugar 69 devilscreekbeer http tcockchtxb2ug"
"59","741693828436873218","Making some new flight serving trays! @ Devour Brewing Co. https://t.co/OasmpkcG8d","Sat Jun 11 18:09:23 +0000 2016","26.4969501","-80.0885925","Boynton Beach, FL","making new flight serving tray devour brewing co http tcooasmpkcg8d"
"60","741694131139792897","If you live in one of six U.S. cities, you can soon hop on a commercial flight to Cuba. https://t.co/sFCUpVHVLv","Sat Jun 11 18:10:35 +0000 2016","38.90181532","-77.03733586","Washington, DC","if live one six us city soon hop commercial flight cuba http tcosfcupvhvlv"
"61","741695305314226176","Patio beers! 
#flight #nempls #bauhausbrewlabs @ Bauhaus Brew Labs https://t.co/Chajq86cJg","Sat Jun 11 18:15:15 +0000 2016","45.00097869","-93.24497463","Minneapolis, MN","patio beer flight nempls bauhausbrewlabs bauhaus brew labs http tcochajq86cjg"
"62","741696507435352065","#JFK #HNL New York JFK -&gt; Honolulu $407 https://t.co/XGSQ8h6dVu","Sat Jun 11 18:20:02 +0000 2016","40.6397","-73.7789","Queens, NY","jfk hnl new york jfk gt honolulu 407 http tcoxgsq8h6dvu"
"64","741698483330121728","Last of the flight and best so far - Drinking a Monkey Fist IPA @ Shipyard Brewport - https://t.co/nrPJHvZsOp #photo","Sat Jun 11 18:27:53 +0000 2016","41.7261","-71.436","Warwick, RI","last flight best far drinking monkey fist ipa shipyard brewport http tconrpjhvzsop photo"
"65","741699541116817408","I'm at SWA FLIGHT 6161 in Dallas, TX https://t.co/XCOhb1brF2 https://t.co/p1f9YL1FW3","Sat Jun 11 18:32:05 +0000 2016","32.846214","-96.847725","Dallas, TX","i m swa flight 6161 dallas tx http tcoxcohb1brf2 http tcop1f9yl1fw3"
"66","741701642660249600","Bday plans I mite take a flight just because","Sat Jun 11 18:40:26 +0000 2016","38.8502975","-76.9723022","Washington, DC","bday plan i mite take flight"
"69","741704355791966208","Photo: Shot of a plane tail while in flight https://t.co/F4vlI9ThEO","Sat Jun 11 18:51:13 +0000 2016","37.69922121","-123.01177645","California, USA","photo shot plane tail flight http tcof4vli9theo"
"72","741708499370049537","Pre-flight lunch: combination soba. (@ Sankaku Sushi &amp; Noodle in San Francisco, CA) https://t.co/OI9lXe6Y9x https://t.co/71Xxn1PU1e","Sat Jun 11 19:07:41 +0000 2016","37.61851215","-122.38633092","California, USA","preflight lunch combination soba sankaku sushi amp noodle san francisco ca http tcooi9lxe6y9x http tco71xxn1pu1e"
"73","741710137728114688","Long flight (@ Seattle-Tacoma International Airport  in Seatac, WA) https://t.co/LRunWv1zrE https://t.co/ZELqkus9uF","Sat Jun 11 19:14:11 +0000 2016","47.44364658","-122.30259418","SeaTac, WA","long flight seattletacoma international airport seatac wa http tcolrunwv1zre http tcozelqkus9uf"
"74","741710804081364992","Come on inside. The #CLTGamecocks are inside @ Flight https://t.co/sR1YB5WO4N","Sat Jun 11 19:16:50 +0000 2016","35.22783","-80.83911","Charlotte, NC","come inside the cltgamecocks inside flight http tcosr1yb5wo4n"
"75","741711352746541056","#SAN #AUS San Diego -&gt; Austin Texas $129 https://t.co/MsPaE3w6uQ","Sat Jun 11 19:19:01 +0000 2016","32.7336","-117.1897","San Diego, CA","san aus san diego gt austin texas 129 http tcomspae3w6uq"
"76","741711605415612416","#LGA #LAS New York/LGA -&gt; Las Vegas $212 https://t.co/CMPL2OuvVm","Sat Jun 11 19:20:01 +0000 2016","40.7773","-73.8726","Queens, NY","lga las new yorklga gt las vegas 212 http tcocmpl2ouvvm"
"77","741713952221081600","One final flight and we'll be home to #milwaukee @ Denver International Airport https://t.co/PCabAy9YLq","Sat Jun 11 19:29:21 +0000 2016","39.855096","-104.673738","Colorado, USA","one final flight ll home milwaukee denver international airport http tcopcabay9ylq"
"78","741714877715222530","Just posted a photo @ Flight Club https://t.co/lXH0ukZ3QE","Sat Jun 11 19:33:01 +0000 2016","40.73265","-73.99109","Manhattan, NY","just posted photo flight club http tcolxh0ukz3qe"
"79","741714933977604096","All set for my coast to coast flight. @ McCarran International Airport https://t.co/5qNMDjw1Rj","Sat Jun 11 19:33:15 +0000 2016","36.08142882","-115.1473115","Paradise, NV","all set coast coast flight mccarran international airport http tco5qnmdjw1rj"
"80","741715005700251648","Just posted a photo @ Flight Club https://t.co/3kzjxYVE4r","Sat Jun 11 19:33:32 +0000 2016","40.73265","-73.99109","Manhattan, NY","just posted photo flight club http tco3kzjxyve4r"
"81","741715197237301248","Come cheer on @gamecockbasebll with us flightclt. #RoadToOmaha #GoGamecocks #CLTGamecocks @ Flight https://t.co/WIdqu9GZyF","Sat Jun 11 19:34:18 +0000 2016","35.22783","-80.83911","Charlotte, NC","come cheer gamecockbasebll u flightclt roadtoomaha gogamecocks cltgamecocks flight http tcowidqu9gzyf"
"82","741715352279744512","Just posted a photo @ Flight Club https://t.co/mBjvX0IaGC","Sat Jun 11 19:34:55 +0000 2016","40.73265","-73.99109","Manhattan, NY","just posted photo flight club http tcombjvx0iagc"
